Run,Assay Type,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,AvgSpotLen,Bases,Bytes,Library Name,Host,Collection_Date,BioSampleModel,isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,strain,collected_by,lat_lon,host_disease,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),sample_name,sample_type,AssemblyName,INSDC_center_name,REA,Description,external_id,Submitter_Id,passage_history,samp_size,identified_by,lab_host,common_name
SRR1791702,WGS,SAMN03300060,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867364,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-0467,SRP053287,PRJNA251692,445,781098064,528486996,250: 01-0467,Cattle,2001,Pathogen.cl,MB11,Mexico,North America,Mexico,Tissue,01-0467,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791703,WGS,SAMN03300061,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867365,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-0843,SRP053287,PRJNA251692,457,705894455,543618054,250: 01-0843,Cattle,2001,Pathogen.cl,MB12,Mexico,North America,Mexico,Tissue,01-0843,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791704,WGS,SAMN03300062,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867366,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-0865,SRP053287,PRJNA251692,471,577177538,344008041,250: 01-0865,Cattle,2001,Pathogen.cl,MB13,Mexico,North America,Mexico,Tissue,01-0865,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791705,WGS,SAMN03300063,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867367,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1360,SRP053287,PRJNA251692,461,532923836,417642975,250: 01-1360,Cattle,2001,Pathogen.cl,MB14,Mexico,North America,Mexico,Tissue,01-1360,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791706,WGS,SAMN03300064,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867368,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1473,SRP053287,PRJNA251692,457,1056807751,808812392,250: 01-1473,Cattle,2001,Pathogen.cl,MB15,Mexico,North America,Mexico,Tissue,01-1473,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791707,WGS,SAMN03300065,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867369,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1787,SRP053287,PRJNA251692,453,1299762822,976937421,250: 01-1787,Jaguar,2001,Pathogen.cl,MB16,USA,North America,USA:FL,Tissue,01-1787,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791708,WGS,SAMN03300066,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867370,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1890,SRP053287,PRJNA251692,106,321439806,228289637,250: 01-1890,Cattle,2001,Pathogen.cl,MB17,USA,North America,USA:SD,Tissue,01-1890,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791709,WGS,SAMN03300067,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867371,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1920,SRP053287,PRJNA251692,444,1490780722,1135770910,250: 01-1920,Cattle,2001,Pathogen.cl,MB18,Mexico,North America,Mexico,Tissue,01-1920,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791710,WGS,SAMN03300068,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867372,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1951,SRP053287,PRJNA251692,474,503645190,286176237,250: 01-1951,Primate,2001,Pathogen.cl,MB19,Tanzania,Africa,Tanzania,Tissue,01-1951,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791711,WGS,SAMN03300069,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867373,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1952,SRP053287,PRJNA251692,452,91436978,57655819,250: 01-1952,Primate,2001,Pathogen.cl,MB20,China,Asia,China,Tissue,01-1952,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791712,WGS,SAMN03300070,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867374,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-1954,SRP053287,PRJNA251692,467,286943885,185783387,250: 01-1954,Primate,2001,Pathogen.cl,MB21,Tanzania,Africa,Tanzania,Tissue,01-1954,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791713,WGS,SAMN03300071,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867375,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2185,SRP053287,PRJNA251692,478,351338816,231822162,250: 01-2185,Cattle,2001,Pathogen.cl,MB22,,,,Tissue,01-2185,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791714,WGS,SAMN03300072,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867376,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2217,SRP053287,PRJNA251692,440,717364899,489742256,250: 01-2217,Cattle,2001,Pathogen.cl,MB23,,,,Tissue,01-2217,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791715,WGS,SAMN03300073,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867377,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2374,SRP053287,PRJNA251692,446,652557484,444852738,250: 01-2374,Cattle,2001,Pathogen.cl,MB24,USA,North America,USA:MO,Tissue,01-2374,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791716,WGS,SAMN03300074,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867378,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2452,SRP053287,PRJNA251692,450,1239201548,935643844,250: 01-2452,Cattle,2001,Pathogen.cl,MB25,USA,North America,USA:MI,Tissue,01-2452,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791717,WGS,SAMN03300075,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867379,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2486,SRP053287,PRJNA251692,476,489809601,330912385,250: 01-2486,Cattle,2001,Pathogen.cl,MB26,,,,Tissue,01-2486,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791718,WGS,SAMN03300076,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867380,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2508,SRP053287,PRJNA251692,456,1329121543,1019542123,250: 01-2508,Cattle,2001,Pathogen.cl,MB27,USA,North America,USA:MI,Tissue,01-2508,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791719,WGS,SAMN03300077,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867381,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2509,SRP053287,PRJNA251692,433,721883036,536680790,250: 01-2509,Cattle,2001,Pathogen.cl,MB28,USA,North America,USA:MI,Tissue,01-2509,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791720,WGS,SAMN03300078,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867382,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2536,SRP053287,PRJNA251692,470,609590179,386504506,250: 01-2536,Cattle,2001,Pathogen.cl,MB29,Mexico,North America,Mexico,Tissue,01-2536,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791721,WGS,SAMN03300079,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867383,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2567,SRP053287,PRJNA251692,476,114809238,64910273,250: 01-2567,Cattle,2001,Pathogen.cl,MB30,USA,North America,USA:MO,Tissue,01-2567,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791722,WGS,SAMN03300080,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867384,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2656,SRP053287,PRJNA251692,470,415421402,272337205,250: 01-2656,Cattle,2001,Pathogen.cl,MB31,Mexico,North America,Mexico,Tissue,01-2656,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791723,WGS,SAMN03300081,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867385,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2757,SRP053287,PRJNA251692,470,198300490,102191415,250: 01-2757,Cattle,2001,Pathogen.cl,MB32,USA,North America,USA:CO,Tissue,01-2757,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791724,WGS,SAMN03300082,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867386,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-2934,SRP053287,PRJNA251692,473,525545036,345038155,250: 01-2934,Cattle,2001,Pathogen.cl,MB33,Mexico,North America,Mexico,Tissue,01-2934,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791725,WGS,SAMN03300083,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867387,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3176,SRP053287,PRJNA251692,472,565167696,362623287,250: 01-3176,Cattle,2001,Pathogen.cl,MB34,Mexico,North America,Mexico,Tissue,01-3176,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791726,WGS,SAMN03300084,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867388,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3240,SRP053287,PRJNA251692,476,514322165,329802963,250: 01-3240,Cattle,2001,Pathogen.cl,MB35,,,,Tissue,01-3240,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791727,WGS,SAMN03300085,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867389,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3302,SRP053287,PRJNA251692,465,166054076,94410025,250: 01-3302,Cattle,2001,Pathogen.cl,MB36,Mexico,North America,Mexico,Tissue,01-3302,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791728,WGS,SAMN03300086,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867390,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3442,SRP053287,PRJNA251692,484,249091960,146161647,250: 01-3442,Cattle,2001,Pathogen.cl,MB37,Mexico,North America,Mexico,Tissue,01-3442,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791729,WGS,SAMN03300087,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867391,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3568,SRP053287,PRJNA251692,474,355691629,243658453,250: 01-3568,Cattle,2001,Pathogen.cl,MB38,Mexico,North America,Mexico,Tissue,01-3568,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791730,WGS,SAMN03300088,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867392,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3695,SRP053287,PRJNA251692,443,849566909,618598690,250: 01-3695,Cattle,2001,Pathogen.cl,MB39,USA,North America,USA:MI,Tissue,01-3695,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791731,WGS,SAMN03300089,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867393,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3872,SRP053287,PRJNA251692,431,888801292,637071833,250: 01-3872,Cattle,2001,Pathogen.cl,MB40,USA,North America,USA:MI,Tissue,01-3872,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791732,WGS,SAMN03300090,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867394,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3906,SRP053287,PRJNA251692,463,539396878,361563742,250: 01-3906,Cattle,2001,Pathogen.cl,MB41,Mexico,North America,Mexico,Tissue,01-3906,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791733,WGS,SAMN03300091,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867395,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-3941,SRP053287,PRJNA251692,469,114501930,91887471,250: 01-3941,Cattle,2001,Pathogen.cl,MB42,Mexico,North America,Mexico,Tissue,01-3941,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791734,WGS,SAMN03300092,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867396,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4048,SRP053287,PRJNA251692,453,935622431,727598475,250: 01-4048,Cattle,2001,Pathogen.cl,MB43,USA,North America,USA:TX,Tissue,01-4048,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791735,WGS,SAMN03300093,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867397,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4106,SRP053287,PRJNA251692,468,795531171,475417830,250: 01-4106,Cattle,2001,Pathogen.cl,MB44,Mexico,North America,Mexico,Tissue,01-4106,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791736,WGS,SAMN03300094,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867398,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4280,SRP053287,PRJNA251692,457,358991228,200944363,250: 01-4280,Cattle,2001,Pathogen.cl,MB45,USA,North America,USA:CO,Tissue,01-4280,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791737,WGS,SAMN03300095,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867399,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4283,SRP053287,PRJNA251692,472,700056771,431998264,250: 01-4283,Cattle,2001,Pathogen.cl,MB46,Mexico,North America,Mexico,Tissue,01-4283,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791738,WGS,SAMN03300096,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867400,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4535,SRP053287,PRJNA251692,465,821310245,636620701,250: 01-4535,Cattle,2001,Pathogen.cl,MB47,USA,North America,USA:MI,Tissue,01-4535,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791739,WGS,SAMN03300097,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867401,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4577,SRP053287,PRJNA251692,481,249072982,142157005,250: 01-4577,Cattle,2001,Pathogen.cl,MB48,Mexico,North America,Mexico,Tissue,01-4577,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791740,WGS,SAMN03300098,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867402,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-4726,SRP053287,PRJNA251692,335,295276335,225418093,250: 01-4726,Cattle,2001,Pathogen.cl,MB49,Mexico,North America,Mexico,Tissue,01-4726,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791741,WGS,SAMN03300099,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867403,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-5127,SRP053287,PRJNA251692,473,531633911,322552377,250: 01-5127,Cattle,2001,Pathogen.cl,MB50,,,,Tissue,01-5127,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
