Run,BioProject,geo_loc_name_country,Center Name,Instrument,LibraryLayout,ReleaseDate,SRA Study,Bytes,Bases,Collection_Date
SRR13015806,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,226070974.0,487636113.0,2018-12-12
SRR13015807,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,183582299.0,395042705.0,2018-12-12
SRR13015808,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,197838223.0,420031657.0,2018-12-12
SRR13015809,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,143246700.0,307716611.0,2018-12-12
SRR13015810,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,235065312.0,504834107.0,2018-12-12
ERR4899138,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2020-12-04T00:00:00Z,ERP021867,86366419.0,338858496.0,
ERR4899139,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2020-12-04T00:00:00Z,ERP021867,61667884.0,233132222.0,
SRR13199719,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,232386110.0,407790345.0,2010
SRR13199720,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,254945597.0,449647004.0,2008
SRR13199721,PRJNA682618,Portugal,FCUL,Illumina HiSeq 1000,PAIRED,2021-02-19T00:00:00Z,SRP295938,600637433.0,1854840210.0,2009
SRR13199722,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,242575379.0,341534171.0,2008
SRR13199723,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,308969370.0,491188343.0,2008
SRR13199724,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,307384654.0,519310806.0,2015
SRR13199725,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,338017673.0,557836728.0,2015
SRR13199726,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,172948686.0,284298991.0,2015
SRR13199727,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,209275421.0,334752709.0,2015
SRR13199728,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,298718010.0,487471411.0,2008
SRR13199729,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,264723406.0,398635664.0,2015
SRR13199730,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,269920553.0,397291847.0,2015
SRR13199731,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,215380729.0,306039188.0,2015
SRR13199732,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,382214566.0,668292649.0,2014
SRR13199733,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,110959499.0,154031287.0,2014
SRR13199734,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,257305686.0,437935900.0,2014
SRR13199735,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,266717361.0,450155918.0,2014
SRR13199736,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,256863955.0,425486471.0,2014
SRR13199737,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,272084391.0,472656942.0,2013
SRR13199738,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,182108546.0,253451486.0,2013
SRR13199739,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,242115740.0,415201926.0,2008
SRR13199740,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,216684516.0,303431851.0,2013
SRR13199741,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,248377429.0,412639447.0,2013
SRR13199742,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,234144398.0,359116823.0,2013
SRR13199743,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,222304378.0,338451833.0,2013
SRR13199744,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,196926758.0,313691158.0,2012
SRR13199745,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,272726773.0,417299366.0,2012
SRR13199746,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,188015435.0,330603712.0,2012
SRR13199747,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,182748176.0,253343383.0,2012
SRR13199748,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,209522737.0,325198075.0,2012
SRR13199749,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,248531973.0,422177742.0,2012
SRR13199750,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,281479316.0,452732663.0,2007
SRR13199751,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,260656659.0,399854838.0,2012
SRR13199752,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,271552083.0,419923367.0,2012
SRR13199753,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,165977078.0,230916714.0,2011
SRR13199754,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,195730761.0,270042350.0,2011
SRR13199755,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,240761410.0,416451122.0,2011
SRR13199756,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,291202622.0,493298863.0,2011
SRR13199757,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,188342059.0,300611921.0,2011
SRR13199758,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,291562420.0,499257113.0,2010
SRR13199759,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,304806696.0,466176051.0,2010
SRR13199760,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,242357827.0,392053299.0,2010
SRR13199761,PRJNA682618,Portugal,FCUL,Illumina HiSeq 1000,PAIRED,2021-02-19T00:00:00Z,SRP295938,666853156.0,2055730610.0,2006
SRR13199762,PRJNA682618,Portugal,FCUL,Illumina MiSeq,PAIRED,2021-02-19T00:00:00Z,SRP295938,327797378.0,565854636.0,2003
SRR12554454,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,370418210.0,612201947.0,Not Collected
SRR12554455,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,252586683.0,423174905.0,Not Collected
SRR12554456,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,325336137.0,543626641.0,Not Collected
SRR12554457,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,307214531.0,495002004.0,Not Collected
SRR12554458,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,332856075.0,553237162.0,Not Collected
SRR12554459,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,388938093.0,618655715.0,Not Collected
SRR12554460,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,338677360.0,552813070.0,Not Collected
SRR12554461,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,302618778.0,489053191.0,Not Collected
SRR12554462,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,295273866.0,489019192.0,Not Collected
SRR12554463,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,295967705.0,524896953.0,Not Collected
SRR12554464,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,279908764.0,457006804.0,Not Collected
SRR12554465,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,282607745.0,466788230.0,Not Collected
SRR12554466,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,241503776.0,392317061.0,Not Collected
SRR12554467,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,350998273.0,555986350.0,Not Collected
SRR12554468,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,243779795.0,397291671.0,Not Collected
SRR12554469,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,334054282.0,578666347.0,Not Collected
SRR12554470,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,259938003.0,389514208.0,Not Collected
SRR12554471,PRJNA251692,USA,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2020-08-31T00:00:00Z,SRP053287,395896563.0,668773810.0,Not Collected
SRR14049334,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,98419521.0,182605631.0,Not collected
SRR14049335,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,124169237.0,207748938.0,Not collected
SRR14049336,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,186676713.0,308165161.0,Not collected
SRR14049337,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,179402310.0,288307814.0,Not collected
SRR14049338,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,168628075.0,255189442.0,Not collected
SRR14049339,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,153421913.0,241248253.0,Not collected
SRR14049340,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,140976789.0,233640276.0,Not collected
SRR14049341,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,142261972.0,265757203.0,Not collected
SRR14049342,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,42853684.0,77076743.0,Not collected
SRR14049343,PRJNA625091,Argentina,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-03-23T00:00:00Z,SRP256140,125907096.0,229382700.0,Not collected
SRR13986556,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,98455049.0,188590849.0,2017
SRR13986557,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,166634776.0,296214461.0,2017
SRR13986558,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,211062732.0,334193161.0,2017
SRR13986559,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,378152246.0,588016376.0,2017
SRR13986560,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,173307088.0,284525206.0,2017
SRR13986561,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,219440347.0,348797526.0,2017
SRR13986562,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,307493744.0,493464197.0,2017
SRR13986563,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,61808080.0,115560613.0,2017
SRR13986564,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,100024110.0,182780294.0,2017
SRR13986565,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,72935610.0,135613866.0,2017
SRR13986566,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,63781803.0,102100195.0,2017
SRR13986567,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,86150659.0,160678288.0,2017
SRR13986568,PRJNA715078,Algeria,IHU,Illumina MiSeq,PAIRED,2021-03-17T00:00:00Z,SRP311009,68087348.0,127346181.0,2017
SRR15296910,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,178744767.0,329406456.0,2018
SRR15296912,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,150747118.0,271522022.0,2017
SRR15296915,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,385039490.0,572513899.0,2018
SRR15296916,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,80983704.0,119638673.0,2010
SRR15296917,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,379710059.0,568638542.0,2011
SRR15296918,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,76742840.0,111516012.0,2011
SRR15296919,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,89963043.0,132727837.0,2011
SRR15296920,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,80236345.0,118538494.0,2011
SRR15296922,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,149041955.0,274142765.0,2018
SRR15296925,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,281865532.0,394544500.0,2017
SRR15296926,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,313251589.0,441374666.0,2017
SRR15296927,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,314729465.0,446117004.0,2017
SRR15296928,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,308417303.0,475907062.0,2017
SRR15296929,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,277949623.0,397144945.0,2017
SRR15296931,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,328401730.0,462484020.0,2017
SRR15296933,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,174716369.0,322902563.0,2017
SRR15296935,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,343156882.0,485939849.0,2017
SRR15296937,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,140913656.0,197926448.0,2017
SRR15296938,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,296986531.0,417367518.0,2017
SRR15296939,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,312490245.0,480741871.0,2017
SRR15296941,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,286169570.0,433726637.0,2017
SRR15296943,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,292659760.0,442854021.0,2017
SRR15296945,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,326806514.0,497965362.0,2017
SRR15296948,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,247646865.0,377399856.0,2017
SRR15296949,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,306666145.0,479093681.0,2017
SRR15296951,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,275173957.0,377394170.0,2017
SRR15296953,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,299636319.0,413541184.0,2017
SRR15296954,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,233382896.0,322738122.0,2017
SRR15296955,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,140463435.0,263059953.0,2018
SRR15296956,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,311906859.0,436840095.0,2017
SRR15296960,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,212076970.0,289631924.0,2017
SRR15296961,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,174629670.0,236932975.0,2017
SRR15296963,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,224860706.0,310060926.0,2017
SRR15296966,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,158792560.0,287331279.0,2017
SRR15296967,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,141346288.0,199216612.0,2017
SRR15296969,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,303764441.0,452191824.0,2017
SRR15296974,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,236718792.0,344581018.0,2017
SRR15296975,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,253071086.0,363686832.0,2017
SRR15296977,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,155269283.0,284942961.0,2017
SRR15296979,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,297560414.0,430710742.0,2014
SRR15296982,PRJNA384785,Spain,USDA-NVSL-DBPL,Illumina MiSeq,PAIRED,2021-07-30T00:00:00Z,SRP105419,163225797.0,289588326.0,2017
SRR15649877,PRJNA756983,Brazil,CUIABA UNIVERSITY,Illumina NovaSeq 6000,PAIRED,2021-08-27T00:00:00Z,SRP334421,606237443.0,1962512400.0,2018-08-17
SRR15649878,PRJNA756983,Brazil,CUIABA UNIVERSITY,Illumina NovaSeq 6000,PAIRED,2021-08-27T00:00:00Z,SRP334421,480278853.0,1542115200.0,2018-06-13
SRR15649879,PRJNA756983,Brazil,CUIABA UNIVERSITY,Illumina NovaSeq 6000,PAIRED,2021-08-27T00:00:00Z,SRP334421,693528047.0,2251809900.0,2018-03-06
SRR15649880,PRJNA756983,Brazil,CUIABA UNIVERSITY,Illumina NovaSeq 6000,PAIRED,2021-08-27T00:00:00Z,SRP334421,555521233.0,1767206100.0,2018-02-23
ERR5311076,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,147809487.0,470964772.0,
ERR5311077,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,148052939.0,471521056.0,
ERR5311078,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,231701049.0,589209550.0,
ERR5311079,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,177383295.0,434585248.0,
ERR5311080,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,143339376.0,507014512.0,
ERR5311081,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,218658765.0,560637028.0,
ERR5311082,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,165806971.0,401802846.0,
ERR5311083,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,180305903.0,448418660.0,
ERR5311084,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,201209177.0,596760758.0,
ERR5311085,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,150146138.0,501285874.0,
ERR5311086,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,169949654.0,419557124.0,
ERR5311087,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,219914037.0,642588050.0,
ERR5311088,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,182836886.0,527198078.0,
ERR5311089,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,143708719.0,347904000.0,
ERR5311090,PRJEB19799,United Kingdom,WELLCOME SANGER INSTITUTE,HiSeq X Ten,PAIRED,2021-03-17T00:00:00Z,ERP021867,173213950.0,438952772.0,
